마명,부마성적,모마성적
가나패션,16.0,9.0
가로수길,13.142857142857142,5.066666666666666
갈색향기,23.09090909090909,10.068965517241379
감곡선샤인,82.02702702702703,10.226854813421516
강력한지금,23.0,14.1
강서돌풍,23.09090909090909,17.0
강철부대,6.0,5.153846153846154
강철여걸,31.105263157894736,21.043478260869566
강토마,29.18421052631579,23.115384615384617
강한퀸,11.142857142857142,24.11111111111111
갤럭시삭스,31.105263157894736,10.226854813421516
갤럽컬린,37.125,10.226854813421516
거센돌풍,17.142857142857142,15.04
거센챔프,24.3125,10.226854813421516
건곤일척,15.090909090909092,6.083333333333333
걸작드림,19.0,21.076923076923077
걸작맨,24.066666666666666,10.226854813421516
걸작선,16.0,18.142857142857142
검은질주,29.18421052631579,3.0
검포,19.0,40.05714285714286
경부도령,50.25,18.107142857142858
고고고,5.428571428571429,11.0
고고스타,31.105263157894736,5.0
고마나루,72.09803921568627,5.045454545454546
고스트울프,23.09090909090909,10.226854813421516
고스트참,23.0,8.0
고업,11.0,10.226854813421516
고져스서브,20.181818181818183,7.3
골드마이티,16.0,3.1818181818181817
골드스파이크,11.0,21.105263157894736
골드윙,16.0,3.0714285714285716
골드카이저,17.142857142857142,7.0
골드케이,16.0,4.111111111111111
골드파워,19.0,23.08
골든럭키,24.066666666666666,10.226854813421516
골든서비스,20.181818181818183,0.25
골든아너,20.181818181818183,37.06976744186046
골든펄,17.142857142857142,8.333333333333334
광마힐,17.0,10.226854813421516
광명성,6.0,11.133333333333333
광양으뜸,22.09090909090909,7.2
광치기,50.25,5.0
교룡득수,19.0,22.08823529411765
구억마알,20.11111111111111,9.23076923076923
국대클래스,6.0,14.090909090909092
국제공항,27.166666666666668,10.226854813421516
국향,16.0,10.214285714285714
굿니센,19.0,10.226854813421516
굿사이먼,19.133333333333333,10.226854813421516
굿카보,31.105263157894736,12.076923076923077
굿필승,34.130434782608695,5.0
그랜드스타,44.09375,6.0
그랜드실버,24.066666666666666,12.181818181818182
그랜드파워,11.0,25.166666666666668
그레이스리,16.0,7.125
그레이스퀸,31.105263157894736,12.037037037037036
그레이캣,31.105263157894736,6.111111111111111
그레이토르,31.105263157894736,10.226854813421516
그레이트매직,19.133333333333333,4.0
그레이트선더,22.09090909090909,10.226854813421516
그로우,6.0,21.195121951219512
그린다르크,22.09090909090909,10.0625
그린드래건,11.142857142857142,33.06666666666667
그린백,24.066666666666666,15.0
그린불패,19.133333333333333,10.11111111111111
그린스파크,9.2,8.23076923076923
그린질주,37.172413793103445,12.08695652173913
그린폭주,16.0,6.25
