마번,마명,성별,연령,산지,level,스피드(100),수득상금(100),부담력(100),지구력(100),우승거리(100),레이팅,총경기,1st,2st,3st,수득상금(천원),조교사이름,조교사번호,마주,부마명,부마번,총경기_F,1st_F,2st_F,3st_F,모마명,모마번,총경기_M,1st_M,2st_M,3st_M
45027,가나패션,2,3,0,4,63.49,59.51,39.12,63.86,5.0,,5,0,4,1,"40,800",안해양,26,김한수,올드패션드,37972.0,6.0,4.0,2.0,0.0,찬란한여명,28416.0,4.0,3.0,0.0,0.0
39021,가로수길,1,6,0,2,62.24,72.89,61.35,56.08,77.53,,13,5,3,0,"202,880",리카디,34,홍종철,채플로열,31302.0,7.0,3.0,2.0,1.0,협동,14732.0,30.0,1.0,1.0,2.0
43765,갈색향기,2,3,0,5,50.16,42.99,34.67,63.45,5.0,,10,0,2,1,"22,900",휴양마,999,김광명,메니피,20256.0,11.0,5.0,4.0,1.0,휴지호프,36614.0,29.0,2.0,2.0,2.0
44650,감곡선샤인,2,3,0,5,39.53,41.94,34.67,59.01,77.53,,6,1,0,0,"14,750",심승태,37,손칠규,에이스갤러퍼,22931.0,37.0,20.0,11.0,1.0,드림갤러퍼,31375.0,3.0,0.0,0.0,0.0
45187,강력한지금,1,2,0,4,58.06,44.03,39.12,56.57,56.93,,6,1,1,0,"27,550",홍대유,6,금악목장,페더럴리스트,34735.0,16.0,7.0,1.0,0.0,금악여제,35196.0,10.0,4.0,1.0,1.0
43772,강서돌풍,1,3,0,6,16.07,36.82,5.0,46.41,5.0,,3,0,0,0,0,강성오,9,(주)디알엠씨티,메니피,20256.0,11.0,5.0,4.0,1.0,강철나비,22115.0,21.0,5.0,1.0,0.0
43808,강철부대,1,3,0,6,25.95,38.91,5.0,46.79,5.0,,5,0,0,1,"5,500",심승태,37,오종환,선더모카신,33119.0,2.0,2.0,0.0,0.0,플라이위너,27542.0,26.0,1.0,1.0,4.0
45919,강철여걸,2,2,0,6,45.71,39.26,5.0,66.46,5.0,,2,0,0,0,"2,400",유재길,23,허건호,카우보이칼,38391.0,19.0,7.0,5.0,2.0,원신다임,18681.0,23.0,5.0,3.0,1.0
37703,강토마,0,7,0,1,73.9,80.11,65.79,56.75,66.55,,35,10,8,2,"649,000",정호익,10,김광명,테스타마타,34428.0,38.0,7.0,4.0,7.0,무한신조,26148.0,26.0,1.0,10.0,3.0
46025,강한퀸,2,2,0,6,44.47,45.55,5.0,59.96,5.0,,2,0,0,1,"8,400",홍대유,6,강수덕,아치아치아치,40056.0,7.0,3.0,1.0,1.0,골드웨이브,32285.0,27.0,4.0,6.0,3.0
45469,갤럭시삭스,2,2,0,6,40.77,36.82,5.0,68.09,5.0,,1,0,0,0,0,이신영,14,김창식,카우보이칼,38391.0,19.0,7.0,5.0,2.0,러브토어치,40167.0,0.0,0.0,0.0,0.0
41600,갤럽컬린,0,6,1,1,64.54,57.07,52.46,56.57,66.55,,24,5,2,4,"267,430",휴양마,999,이성인,CURLIN,6771774.0,16.0,11.0,2.0,2.0,COLONA,6112539.0,0.0,0.0,0.0,0.0
42939,거센돌풍,1,4,0,4,51.58,47.99,52.46,52.69,45.46,,17,3,1,3,"104,060",최상식,28,강석대,테이크차지인디,39742.0,14.0,3.0,4.0,2.0,리걸조앤,38277.0,25.0,5.0,0.0,1.0
