마명,승률(%),복승률(%),경주번호,경주명,거리,군(등급),번호,순위,출전두수,주로상태,기록,S1F기록,G3F기록,G1F기록,수득상금,부담중량,마체중,기수,조교사
0,가나패션,0.0,66.6,22-11-13-9,일반,1200,혼4등급,2,3,8,포화    ,72.6,13.7,36.3,12.4,8400000,51.0,461,김용근,안해양
1,가나패션,0.0,66.6,22-10-09-5,일반,1200,국5등급,7,2,8,다습    ,74.0,13.6,37.3,12.8,8800000,54.5,463,문세영,안해양
2,가나패션,0.0,66.6,22-08-13-7,일반,1200,국5등급,1,2,12,포화    ,73.7,13.3,37.5,12.8,8800000,52.5,468,장추열,안해양
3,가나패션,0.0,66.6,22-07-10-4,일반,1300,국5등급,7,3,7,다습    ,82.1,13.8,39.0,12.8,5600000,52.0,462,다비드,안해양
4,가나패션,0.0,66.6,22-06-11-2,일반,1200,국6등급,7,2,12,건조    ,75.3,13.7,38.3,12.9,8800000,54.0,459,다비드,안해양
5,가나패션,0.0,66.6,22-05-15-2,2001년 제4회 코리안더비 우승마 '햇빛마을' 기념,1200,국6등급,4,2,11,건조    ,76.6,14.0,38.5,12.8,8800000,54.0,460,다비드,안해양
6,가로수길,38.4,61.5,22-10-30-11,일반,2000,2등급,3,4,10,건조    ,130.0,13.7,39.7,13.7,4500000,56.0,491,다비드,리카디
7,가로수길,38.4,61.5,22-08-20-10,일반,2000,2등급,11,1,12,포화    ,131.9,14.1,38.8,13.2,49500000,54.0,490,다비드,리카디
8,가로수길,38.4,61.5,22-04-30-9,일반,1800,2등급,6,6,12,다습    ,118.6,14.1,40.8,14.3,0,56.0,489,다비드,리카디
9,가로수길,38.4,61.5,22-03-12-8,일반,1800,국3등급,6,2,10,건조    ,118.2,14.0,40.0,13.5,16500000,57.0,494,다비드,리카디
10,가로수길,38.4,61.5,21-08-21-8,일반,1800,국3등급,2,1,11,불량    ,115.0,13.9,38.6,13.2,31200000,51.0,490,다비드,리카디
11,갈색향기,0.0,20.0,22-10-15-4,일반,1300,국5등급,9,9,12,다습    ,82.8,14.8,38.8,13.6,0,52.0,465,김동수,안병기
12,갈색향기,0.0,20.0,22-08-13-7,일반,1200,국5등급,7,7,12,포화    ,74.5,14.5,36.9,12.9,0,52.0,481,임다빈,안병기
13,갈색향기,0.0,20.0,22-07-10-2,일반,1200,국5등급,6,7,7,다습    ,78.0,14.4,40.1,14.5,0,52.0,466,김동수,안병기
14,갈색향기,0.0,20.0,22-05-08-2,일반,1300,국6등급,3,2,12,건조    ,83.2,14.6,37.8,12.9,5500000,54.0,473,유승완,안병기
15,갈색향기,0.0,20.0,22-03-19-2,일반,1400,국6등급,5,2,10,불량    ,87.5,13.8,37.7,12.6,5500000,54.0,465,김동수,안병기
16,갈색향기,0.0,20.0,22-02-20-4,일반,1300,국6등급,7,7,14,건조    ,84.8,14.4,39.7,13.7,0,54.0,469,빅투아르,안병기
17,갈색향기,0.0,20.0,21-12-19-2,일반,1300,국6등급,8,4,12,다습    ,82.7,14.1,38.9,13.4,1250000,53.0,468,김동수,안병기
18,갈색향기,0.0,20.0,21-11-20-3,일반,1200,국6등급,7,3,9,양호    ,75.3,14.5,37.5,13.2,8400000,53.0,468,빅투아르,안병기
19,갈색향기,0.0,20.0,21-08-28-1,일반,1000,국6등급,9,5,11,포화    ,62.2,13.9,37.4,13.0,2250000,53.0,459,송재철,안병기
20,갈색향기,0.0,20.0,21-08-07-1,일반,1000,국6등급,10,8,12,양호    ,62.7,15.2,36.9,12.5,0,53.0,473,조상범,안병기
