,마명,승률,복승률,경주일,경주,경주명,거리,군(등급),번호,순위,출전두수,주로상태,기록,S1F기록,G3F기록,G1F기록,수득상금,부담중량,마체중,기수,조교사
0,가나패션,0     %,66.6  %,22-11-13,9,일반,1200,혼4등급,2,3,8,포화    ,1:12.6 ,13.7  ,36.3,12.4  ,8400000,51,461(-2),김용근,안해양
1,가나패션,0     %,66.6  %,22-10-09,5,일반,1200,국5등급,7,2,8,다습    ,1:14.0 ,13.6  ,37.3,12.8  ,8800000,54.5,463(-5),문세영,안해양
2,가나패션,0     %,66.6  %,22-08-13,7,일반,1200,국5등급,1,2,12,포화    ,1:13.7 ,13.3  ,37.5,12.8  ,8800000,52.5,468(6),장추열,안해양
3,가나패션,0     %,66.6  %,22-07-10,4,일반,1300,국5등급,7,3,7,다습    ,1:22.1 ,13.8  ,39.0,12.8  ,5600000,52,462(3),다비드,안해양
4,가나패션,0     %,66.6  %,22-06-11,2,일반,1200,국6등급,7,2,12,건조    ,1:15.3 ,13.7  ,38.3,12.9  ,8800000,54,459(-1),다비드,안해양
5,가나패션,0     %,66.6  %,22-05-15,2,2001년 제4회 코리안더비 우승마 '햇빛마을' 기념,1200,국6등급,4,2,11,건조    ,1:16.6 ,14.0  ,38.5,12.8  ,8800000,54,460(-3),다비드,안해양
6,가로수길,38.4  %,61.5  %,22-10-30,11,일반,2000,2등급,3,4,10,건조    ,2:10.0 ,13.7  ,39.7,13.7  ,4500000,56,491(1),다비드,리카디
7,가로수길,38.4  %,61.5  %,22-08-20,10,일반,2000,2등급,11,1,12,포화    ,2:11.9 ,14.1  ,38.8,13.2  ,49500000,54,490(3),다비드,리카디
8,가로수길,38.4  %,61.5  %,22-06-04,8,일반,1400,2등급,6,4,8,건조    ,1:26.0 ,13.7  ,37.4,13.3  ,4500000,52,487(-2),다비드,리카디
9,가로수길,38.4  %,61.5  %,22-04-30,9,일반,1800,2등급,6,6,12,다습    ,1:58.6 ,14.1  ,40.8,14.3  ,0,56,489(-5),다비드,리카디
10,가로수길,38.4  %,61.5  %,22-03-12,8,일반,1800,국3등급,6,2,10,건조    ,1:58.2 ,14.0  ,40.0,13.5  ,16500000,57,494(5),다비드,리카디
11,가로수길,38.4  %,61.5  %,21-09-19,10,일반,1800,국3등급,9,2,12,건조    ,1:56.9 ,14.0  ,40.2,13.5  ,13200000,56,489(-1),다비드,리카디
12,가로수길,38.4  %,61.5  %,21-08-21,8,일반,1800,국3등급,2,1,11,불량    ,1:55.0 ,13.9  ,38.6,13.2  ,31200000,51,490(2),다비드,리카디
13,가로수길,38.4  %,61.5  %,20-11-21,7,일반,1700,국4등급,11,1,12,포화    ,1:50.6 ,14.2  ,38.6,12.6  ,33000000,55,488(-7),다비드,리카디
14,가로수길,38.4  %,61.5  %,20-08-23,7,일반,1700,국4등급,5,2,11,포화    ,1:51.0 ,14.0  ,38.3,12.7  ,13200000,54,495(4),다비드,리카디
15,가로수길,38.4  %,61.5  %,20-07-26,9,일반,1700,국5등급,1,1,12,다습    ,1:52.2 ,14.0  ,39.7,13.3  ,22000000,56,491(1),다비드,리카디
16,가로수길,38.4  %,61.5  %,20-06-21,6,일반,1400,국5등급,11,7,12,건조    ,1:28.5 ,14.0  ,38.3,13.1  ,0,54,490(5),다비드,리카디
17,가로수길,38.4  %,61.5  %,19-12-22,6,일반,1300,국5등급,3,5,12,다습    ,1:22.3 ,13.7  ,39.2,13.6  ,1600000,54.5,485(8),조한별,리카디
18,가로수길,38.4  %,61.5  %,19-11-30,3,일반,1300,국6등급,2,1,11,다습    ,1:23.0 ,14.0  ,38.4,12.5  ,13680000,55,477(1),조한별,리카디
19,갈색향기,0     %,20    %,22-10-15,4,일반,1300,국5등급,9,9,12,다습    ,1:22.8 ,14.8  ,38.8,13.6  ,0,52,465(-16),김동수,안병기
20,갈색향기,0     %,20    %,22-08-13,7,일반,1200,국5등급,7,7,12,포화    ,1:14.5 ,14.5  ,36.9,12.9  ,0,52,481(15),임다빈,안병기
21,갈색향기,0     %,20    %,22-07-10,2,일반,1200,국5등급,6,7,7,다습    ,1:18.0 ,14.4  ,40.1,14.5  ,0,52,466(-7),김동수,안병기
22,갈색향기,0     %,20    %,22-05-08,2,일반,1300,국6등급,3,2,12,건조    ,1:23.2 ,14.6  ,37.8,12.9  ,5500000,54,473(8),유승완,안병기
23,갈색향기,0     %,20    %,22-03-19,2,일반,1400,국6등급,5,2,10,불량    ,1:27.5 ,13.8  ,37.7,12.6  ,5500000,54,465(-4),김동수,안병기
24,갈색향기,0     %,20    %,22-02-20,4,일반,1300,국6등급,7,7,14,건조    ,1:24.8 ,14.4  ,39.7,13.7  ,0,54,469(1),빅투아르,안병기
25,갈색향기,0     %,20    %,21-12-19,2,일반,1300,국6등급,8,4,12,다습    ,1:22.7 ,14.1  ,38.9,13.4  ,1250000,53,468(0),김동수,안병기
26,갈색향기,0     %,20    %,21-11-20,3,일반,1200,국6등급,7,3,9,양호    ,1:15.3 ,14.5  ,37.5,13.2  ,8400000,53,468(9),빅투아르,안병기
27,갈색향기,0     %,20    %,21-08-28,1,일반,1000,국6등급,9,5,11,포화    ,1:02.2 ,13.9  ,37.4,13.0  ,2250000,53,459(-14),송재철,안병기
28,갈색향기,0     %,20    %,21-08-07,1,일반,1000,국6등급,10,8,12,양호    ,1:02.7 ,15.2  ,36.9,12.5  ,0,53,473(19),조상범,안병기
29,감곡선샤인,16.6  %,16.6  %,22-10-30,9,일반,1700,국5등급,10,6,12,건조    ,1:52.5 ,15.0  ,39.1,13.0  ,0,54,486(0),김태훈,심승태
30,감곡선샤인,16.6  %,16.6  %,22-10-02,5,일반,1700,국6등급,1,1,9,양호    ,1:52.7 ,14.8  ,39.2,12.9  ,13750000,54,486(6),김태훈,심승태
