마번,마명,성별,연령,레이팅1,수득상금(천원),마주,부마명,모마명,조교사이름,조교사번호,총경기,1st,2st,3st,산지,level
45027,가나패션,2,3,38,"40,800",김한수,올드패션드,찬란한여명,안해양,26,5,0,4,1,0,4
39021,가로수길,1,6,73,"202,880",홍종철,채플로열,협동,리카디,34,13,5,3,0,0,2
43765,갈색향기,2,3,26,"22,900",김광명,메니피,휴지호프,휴양마,999,10,0,2,1,0,5
44650,감곡선샤인,2,3,30,"14,750",손칠규,에이스갤러퍼,드림갤러퍼,심승태,37,6,1,0,0,0,5
45187,강력한지금,1,2,37,"27,550",금악목장,페더럴리스트,금악여제,홍대유,6,6,1,1,0,0,4
43772,강서돌풍,1,3,0,0,(주)디알엠씨티,메니피,강철나비,강성오,9,3,0,0,0,0,6
43808,강철부대,1,3,0,"5,500",오종환,선더모카신,플라이위너,심승태,37,5,0,0,1,0,6
45919,강철여걸,2,2,0,"2,400",허건호,카우보이칼,원신다임,유재길,23,2,0,0,0,0,6
37703,강토마,0,7,116,"649,000",김광명,테스타마타,무한신조,정호익,10,35,10,8,2,0,1
46025,강한퀸,2,2,0,"8,400",강수덕,아치아치아치,골드웨이브,홍대유,6,2,0,0,1,0,6
45469,갤럭시삭스,2,2,0,0,김창식,카우보이칼,러브토어치,이신영,14,1,0,0,0,0,6
41600,갤럽컬린,0,6,84,"267,430",이성인,CURLIN,COLONA,휴양마,999,24,5,2,4,1,1
42939,거센돌풍,1,4,46,"104,060",강석대,테이크차지인디,리걸조앤,최상식,28,17,3,1,3,0,4
45615,거센챔프,1,2,0,"3,000",강석대,머스킷맨,큐비트윈,이관호,42,2,0,0,0,0,6
44357,건곤일척,1,3,34,"39,950",서상주,지롤라모,청상의별,휴양마,999,10,1,1,2,0,5
44802,걸작드림,2,3,30,"40,000",박덕희,한센,멀티럭,박윤규,4,8,0,2,3,0,5
43111,걸작맨,0,4,31,"39,960",박덕희,커널존,패리실튼,박윤규,4,23,1,0,1,0,5
45512,걸작선,2,2,32,"33,000",박덕희,올드패션드,아르고챔프,박윤규,4,3,1,0,0,0,5
45227,검은질주,0,2,33,"46,200",박덕희,테스타마타,래턴펑크,박윤규,4,4,1,1,0,0,5
40738,검포,1,5,63,"183,410",드림커뮤니티,한센,템파르니요,박병일,27,23,2,7,3,0,3
41395,경부도령,1,5,40,"100,060",허건호,경부대로,아임레전드,유재길,23,28,1,4,6,0,4
43266,고고고,1,4,0,"8,700",청메이칭,컬러즈플라잉,명서공주,서범석,12,7,0,1,0,0,6
42893,고고스타,2,4,35,"65,110",김재용,카우보이칼,마이패션,김윤섭,32,22,1,0,6,0,5
44732,고마나루,1,3,0,"10,250",김근영,연승대로,펠로스글로리,구자흥,7,4,0,1,1,0,6
45393,고스트울프,2,2,31,"33,000",(주)나스카,메니피,스티클러,휴양마,999,1,1,0,0,0,5
46616,고스트참,1,2,0,"2,000",김세민,페더럴리스트,영순위,이신영,14,2,0,0,0,0,6
40566,고업,2,5,82,"323,710",김정성,티즈원더풀,링더벨,이희영,13,16,5,5,0,0,1
44869,고져스서브,2,3,35,"45,200",박준배,투아너앤드서브,헤이고져스,김동균,52,7,1,2,0,0,5
46137,골드마이티,1,2,0,0,유길상,올드패션드,쉬저스트마이트,우창구,5,1,0,0,0,0,6
42721,골드스파이크,2,4,34,"45,680",박복용,티즈원더풀,금빛환희,송문길,40,18,1,1,2,0,5
43832,골드윙,1,3,26,"15,750",말사모,포리스트캠프,슈퍼드림,최영주,3,9,1,0,0,0,5
42621,골드카이저,2,4,0,"8,250",김근영,테이크차지인디,골드마인,최영주,3,7,0,0,2,0,6
44741,골드케이,0,4,39,"56,680",강경운,올드패션드,문전옥답,우창구,5,17,2,1,3,0,4
43991,골드파워,2,3,28,"12,600",김은갑,한센,여의골드,박재우,50,4,0,2,0,0,5
44499,골든럭키,2,3,0,"3,500",강종우,커널존,신한우먼,배대선,20,3,0,0,1,0,6
43604,골든서비스,0,5,51,"80,810",강무웅,투아너앤드서브,SUENO D'ORO,최용구,8,21,2,2,2,1,3
44881,골든아너,1,3,30,"22,900",박기태,투아너앤드서브,골든로즈,전승규,25,5,0,2,1,0,5
