마번,마명,모마성적
9519,선봉대감,22전(3/3/3)
10106,소백수,36전(7/6/4)
10574,토종고수,24전(5/6/4)
11119,구룡령,39전(3/7/3)
11292,제석,16전(5/0/2)
11363,정보왕,23전(4/2/1)
12074,천수,41전(2/11/4)
12106,애머랜스,29전(6/5/3)
12350,골든챔피언,45전(3/3/6)
12352,신청파,36전(5/8/1)
12504,씨즈메리,38전(5/6/7)
13275,화려한축제,17전(3/2/0)
13582,안정성,21전(6/2/3)
13843,베씸,1전(0/0/0)
13876,크리스티나즈스타,6전(0/0/0)
13958,리치이모션즈,24전(6/5/2)
13968,알찬우승,24전(5/5/4)
13969,미스트래블린,31전(5/2/1)
14021,준벨러,25전(5/3/3)
14031,일롭위드미,21전(1/3/2)
14189,가문영광,29전(8/1/5)
14314,화려한꿈,27전(4/4/1)
14669,만왕,23전(4/3/1)
14732,협동,30전(1/1/2)
14949,마스코트,11전(1/3/1)
15071,레이디산다이도,0전(0/0/0)
15144,인디언다이아몬드,36전(3/6/4)
15225,러세미러,4전(2/0/0)
15402,러브리메모리즈,5전(1/0/2)
15515,백만부자,12전(4/2/0)
16359,주말축배,22전(6/1/3)
16365,노블파티,15전(1/4/2)
16751,임패션드댄서,13전(3/0/3)
16780,신속돌파,23전(2/1/0)
16788,퍼스트클래스캣,17전(5/1/2)
16807,감화력,33전(0/2/2)
16862,퍼서널프로젝트,19전(4/2/0)
16875,언큐어드디자이어,17전(1/1/1)
16881,광열한,49전(2/6/5)
17057,백파,31전(9/5/3)
17305,라이브퀸,34전(3/3/4)
17380,조이라이드,4전(0/0/0)
17441,누리강자,19전(4/2/1)
17475,금순이,22전(6/4/2)
17518,럭셔리퀸,19전(4/3/0)
17527,탑포인트,40전(18/8/5)
17586,드림러너,30전(2/6/5)
17658,동방최고,24전(3/2/4)
17672,우리바다,15전(3/0/3)
17728,한강제일,42전(7/4/5)
17737,나바이어,22전(3/4/2)
17990,해일,26전(3/4/6)
18111,스틸골든,20전(1/3/3)
18119,리걸멕,11전(1/2/0)
18177,파이어러츠댄서,3전(0/0/0)
18192,플라이퀸,34전(7/6/9)
