마번,마명,부마성적
15477,백광,25전(11/8/3)
15625,홍지,44전(12/13/5)
18206,엑스플로잇,6전(5/1/0)
18733,비와신세이키,33전(10/7/8)
18771,캐피털스팬딩,12전(2/4/1)
18775,볼포니,31전(7/12/5)
20256,메니피,11전(5/4/1)
20379,인그란디어,34전(8/3/2)
20411,대자연,13전(3/3/4)
21079,블루핀,32전(8/10/2)
21239,연승대로,51전(18/9/5)
21999,포리스트캠프,11전(4/2/0)
22931,에이스갤러퍼,37전(20/11/1)
23493,시에로골드,14전(4/2/0)
23957,호크윙,12전(5/5/0)
24050,엑톤파크,23전(6/4/6)
24452,탐라에이스,18전(10/3/0)
25670,원쿨캣,10전(5/0/1)
25790,피스룰즈,19전(9/2/2)
26213,지금이순간,25전(13/7/2)
26618,경부대로,32전(12/7/8)
27172,세트피스,13전(3/1/2)
27312,라이언산타,36전(13/2/4)
27420,오피서,9전(6/1/1)
27443,컬러즈플라잉,7전(1/1/3)
27863,볼트레이,9전(2/0/1)
28224,케이탑,15전(6/2/4)
28533,매직댄서,29전(10/4/2)
28545,인디밴드,13전(8/1/2)
28958,어드마이어돈,25전(10/3/2)
28997,리미트리스비드,63전(14/8/10)
29014,스마티문학,14전(9/2/1)
29287,맘보트레인,29전(2/3/3)
29293,캡틴콜티시,14전(4/3/1)
29376,에어쉐이디,37전(7/10/5)
29419,스트라이크어게인,16전(5/2/1)
29482,와이와이와이,9전(3/1/1)
29487,샤프휴머,7전(4/1/1)
31229,어플리트어게인,25전(4/5/3)
31261,사이먼퓨어,15전(3/5/2)
31302,채플로열,7전(3/2/1)
31305,록하드텐,10전(6/1/1)
31639,영천에이스,19전(4/6/4)
32314,뉴화이트삭스,15전(8/3/1)
32970,윈체스터,30전(6/6/3)
32990,한센,9전(5/2/0)
33115,유로실버,11전(4/4/0)
33119,선더모카신,2전(2/0/0)
33566,파워블레이드,22전(11/6/3)
34192,제타바이트,19전(5/5/2)
34428,테스타마타,38전(7/4/7)
34637,라이언메탈,5전(1/3/1)
34666,천구,15전(5/2/3)
34735,페더럴리스트,16전(7/1/0)
34835,티즈원더풀,5전(3/1/0)
34886,클리어어템프트,16전(3/5/1)
36299,프라이빗보우,12전(4/1/2)
36358,애니기븐새터데이,11전(6/2/1)
36593,온이글즈윙즈,1전(0/0/0)
36693,토우트,7전(1/1/0)
36729,밥앤드존,14전(5/3/3)
36732,머스킷맨,16전(6/3/5)
36735,디바인파크,9전(6/0/0)
36738,플랜,9전(2/1/0)
36742,사담파테크,30전(6/2/3)
37972,올드패션드,6전(4/2/0)
38025,아임유어파더,14전(6/3/1)
38227,크리솔라이트,37전(10/13/1)
38245,미스치비어슬리,26전(3/2/7)
38246,모닝캄,23전(4/3/3)
38332,커널존,15전(6/3/1)
38387,콩코드포인트,6전(4/1/0)
38391,카우보이칼,19전(7/5/2)
39737,어플릿익스프레스,7전(4/1/1)
39742,테이크차지인디,14전(3/4/2)
39750,퍼지,15전(6/1/2)
39812,모던카우보이,32전(12/4/3)
40056,아치아치아치,7전(3/1/1)
40058,티즈웨이,20전(7/1/5)
40086,위드디스팅션,25전(6/7/2)
40246,지롤라모,11전(5/0/1)
41547,에치드,11전(7/0/0)
41559,빅스,3전(0/2/0)
41566,투아너앤드서브,11전(6/1/2)
41812,제이에스초이스,17전(1/2/1)
41868,제이피즈거스토,12전(5/3/0)
43421,일루시브블러프,2전(2/0/0)
44993,언캡처드,18전(7/3/3)
45048,보이즈앳토스코노,8전(5/2/1)
45050,섀클포드,20전(6/5/1)
45082,오버애널라이즈,11전(4/0/2)
46317,레이스데이,12전(6/1/2)
46483,플래시백,7전(2/3/1)
50008,바이언,15전(6/1/3)
50506,에어포스블루,9전(4/1/0)
6102222,FED BIZ,19전(6/3/3)
6102795,JIMMY CREED,10전(4/2/2)
6103311,FLAT OUT,29전(9/5/5)
6103964,NEW YEAR'S DAY,3전(2/0/1)
6103967,GOLDENCENTS,18전(7/7/0)
6106383,CAIRO PRINCE,5전(3/1/0)
6106432,EUROZONE,10전(4/1/1)
6106645,CALIFORNIA CHROME,27전(16/4/1)
6106652,SUMMER FRONT,23전(8/6/3)
6106660,BARBADOS,16전(4/3/1)
6106665,MIDNIGHT STORM,27전(10/5/2)
6106670,TAPITURE,14전(4/4/3)
6106674,COMPETITIVE EDGE,3전(3/0/0)
6106676,WICKED STRONG,19전(3/4/3)
6106681,TEXAS RED,9전(3/3/1)
6106685,MR. Z,12전(1/4/4)
6106898,AMERICAN PHAROAH,11전(9/1/0)
6107521,ATREIDES,5전(4/0/0)
6108940,DAREDEVIL,5전(2/1/0)
6108945,KHOZAN,2전(2/0/0)
6108946,JACK MILTON,19전(5/2/5)
6108972,DANZA,5전(2/0/3)
6109225,CARPE DIEM,6전(4/1/0)
6109230,CONSTITUTION,8전(4/0/1)
6109235,EFFINEX,28전(9/3/4)
6109240,MOR SPIRIT,6전(3/3/0)
6109245,GREENPOINTCRUSADER,9전(3/2/)
6109255,KEEN ICE,24전(3/4/5)
6112058,WE MISS ARTIE,11전(4/2/0)
6112085,MONGOLIAN KHAN,17전(8/0/1)
6112206,FROSTED,19전(6/6/2)
6112209,NOT THIS TIME,4전(2/1/0)
6112210,TOURIST,18전(6/3/4)
6112211,ANCHOR DOWN,17전(5/2/2)
6112213,UPSTART,15전(4/3/4)
6112215,LAOBAN,9전(1/2/1)
6112217,HIT IT A BOMB,7전(3/0/2)
6112249,ALWAYS DREAMING,11전(4/2/2)
6112413,TAPWRIT,13전(4/1/1)
6114895,CLASSIC EMPIRE,9전(5/1/1)
6114907,CONNECT,8전(6/0/1)
6114915,CUPID,13전(6/1/0)
6114922,GORMLEY,9전(4/0/0)
6114923,KLIMT,8전(3/2/1)
6114938,BEHESHT,16전(3/2/0)
6114945,NOBLE BIRD,23전(7/4/0)
6115207,COLLECTED,15전(8/2/1)
6115208,CITY OF LIGHT,11전(6/4/1)
6115210,MO TOWN,10전(4/1/2)
6115212,GOOD SAMARITAN,15전(4/3/2)
6115220,SHAMAN GHOST,17전(8/3/2)
6126457,WEST COAST,13전(6/5/1)
6126458,ARMY MULE,3전(3/0/0)
6248320,AWESOME AGAIN,12전(9/0/2)
6256898,PROUD CITIZEN,16전(3/2/1)
6259767,LEMON DROP KID,24전(10/3/3)
6259885,LOUIS QUATORZE,18전(7/5/1)
6261339,TIZNOW,15전(8/4/2)
6306749,DISTORTED HUMOR,23전(8/5/3)
6306756,EMPIRE MAKER,8전(4/3/1)
6307064,MACHO UNO,14전(6/1/3)
6309990,BROKEN VOW,14전(9/2/2)
6310150,INCLUDE,20전(10/1/4)
6310162,JUMP START,5전(2/1/0)
6310199,MALIBU MOON,2전(1/1/0)
6310223,MIZZEN MAST,11전(5/2/0)
6310347,SONGANDAPRAYER,8전(3/1/1)
6310354,STEPHEN GOT EVEN,11전(5/1/1)
6312528,MINESHAFT,18전(10/3/1)
6313602,GHOSTZAPPER,11전(9/0/1)
6313612,KITTEN'S JOY,14전(9/4/0)
6313649,TAPIT,6전(3/0/0)
6323689,CONGRATS,22전(7/2/5)
6327108,AWESOME OF COURSE,14전(5/0/0)
6333083,SPEIGHTSTOWN,16전(10/2/2)
6338945,SKY MESA,6전(3/1/1)
6405730,GOLD ALLURE,16전(8/1/1)
6405920,OREWA MATTERUZE,13전(3/3/3)
6529374,WILDCAT HEIR,12전(6/4/0)
6529748,ENGLISH CHANNEL,23전(13/4/1)
6620030,AFLEET ALEX,12전(8/2/1)
6771382,BERNARDINI,4전(3/0/0)
6771396,FIRST SAMURAI,8전(5/1/1)
6771400,KANE HEKILI,14전(8/2/0)
6771469,HIGH COTTON,17전(4/3/2)
6771774,CURLIN,16전(11/2/2)
6771817,DISCREET CAT,9전(6/0/2)
6772157,RED GIANT,12전(6/3/1)
6772322,FIBER SONDE,0전(0/0/0)
6772775,STREET BOSS,13전(7/3/1)
6772778,MAJESTIC WARRIOR,7전(2/0/0)
6772788,RUN AWAY AND HIDE,3전(3/0/0)
6772792,BUSTIN STONES,6전(6/0/0)
6772811,TALE OF EKATI,15전(5/1/0)
6781702,LOOKIN AT LUCKY,13전(9/1/1)
6782484,ALTERNATION,19전(9/1/1)
6783715,TEMPLE CITY,15전(4/2/4)
6783840,POINT OF ENTRY,18전(9/3/1)
6784638,DUNKIRK,5전(2/2/0)
6784653,MIDSHIPMAN,4전(3/1/0)
6784756,MISSION IMPAZIBLE,21전(3/8/2)
6790292,GIANT OAK,31전(5/5/6)
6795075,SUPER SAVER,10전(3/2/1)
6803043,QUALITY ROAD,13전(8/3/1)
6806828,CONVEYANCE,5전(4/1/0)
6821213,BLAME,13전(9/2/2)
6830611,TWO STEP SALSA,12전(6/2/1)
6864050,MORNING LINE,15전(5/4/2)
6964308,PIONEEROF THE NILE,10전(5/1/1)
6964685,HAYNESFIELD,19전(10/2/1)
6964691,MUNNINGS,14전(4/2/5)
6964705,DUBLIN,11전(2/1/2)
6964805,LINE OF DAVID,7전(3/0/1)
6965458,KANTHAROS,3전(3/0/0)
6965952,UNCLE MO,8전(5/1/1)
6967924,DIALED IN,7전(3/1/0)
6967938,TAPIZAR,14전(6/1/1)
6967942,TWIRLING CANDY,11전(7/1/1)
6968995,ADIOS CHARLIE,7전(3/3/0)
6969040,POWER,9전(5/2/0)
6969041,MACLEAN'S MUSIC,1전(1/0/0)
6969068,ALGORITHMS,3전(3/0/0)
6969070,ASTROLOGY,12전(3/3/3)
6969073,CALEB'S POSSE,19전(8/5/2)
6969074,CREATIVE CAUSE,10전(4/2/3)
6969075,지몰로지스트,7전(5/0/0)
6969075,GEMOLOGIST,7전(5/0/0)
6969076,THE FACTOR,13전(6/2/0)
6969080,STAY THIRSTY,17전(5/5/1)
6969081,BODEMEISTER,6전(2/4/0)
6969089,UNION RAGS,8전(5/1/1)
6969136,CASINO DRIVE,11전(4/1/1)
6970671,GRAYDAR,5전(4/0/1)
6970674,PAYNTER,11전(4/4/0)
6970676,VIOLENCE,4전(3/1/0)
6971222,SHAKIN IT UP,10전(4/2/1)
6971298,PALACE MALICE,19전(7/4/2)
6977170,RAISON D'ETAT,12전(2/2/2)
6978889,ITSMYLUCKYDAY,21전(9/4/2)
6979712,CROSS TRAFFIC,6전(3/2/0)
6980256,WILL TAKE CHARGE,21전(7/6/1)
6982918,DOMINUS,10전(4/2/1)
6983586,ORB,12전(5/0/3)
6986086,STRONG MANDATE,8전(2/1/1)
6986669,OXBOW,13전(3/2/1)
6988001,VERRAZANO,13전(6/1/2)
6992046,GIG HARBOR,9전(5/0/1)
6992307,MAJESTIC CITY,30전(5/4/4)
6992315,PALACE,30전(12/7/5)
6992422,SKY KINGDOM,21전(6/2/4)
6993812,CENTRAL BANKER,13전(4/3/2)
6994066,TAMARKUZ,20전(8/4/0)
6995237,BIG BLUE KITTEN,33전(14/8/5)
6995985,BAL A BALI,26전(15/1/4)
