상호명,url,score,review_cnt,pos,review
고향생막걸리,https://m.place.naver.com/restaurant/1496470647,4.23,51,압구정역,"맛있게 먹고 갑니다~ 이모님 여전히 이쁘시고 너무 맛있쥬 ~~ 감동 항상 맛있게 잘 먹고 있어요!!! 항상 맛이 변하지 않고 맛있어요 ㅎ 음식도 맛나고 사장님이 친절하게 잘 대응해 주세요!! 여사장님이 친절하세요.
보쌈 맛있어요. 비나 눈 올 때 술 한잔 하기 좋은 곳이에요!!! 항상 맛있게 잘 먹고 있어요 ㅎㅎㅎ 신선하고 맛있어요 맛집임 "
의정부부대찌개,https://m.place.naver.com/restaurant/20919742,4.39,206,삼성역,"사장님도 친절하시고
움식도 맛있어요
부대찌개 집인데 저희는 고기를 먹고 옵니다 하하 음식이 생각보다 맛있었어요!
다음에 회사 사람들이랑 또 방문할 예정입니다 점심에 푸짐하게 먹을 수 있어서 좋아요. 라면사리 기본제공인것도 좋습니다. 빨리안가면 웨이팅 길어요. 주변에서 부대찌갸 가장 맛있는 집 점심때 항상 붐비는 이유가 있는것같습니다. 라면사리가 기본으로 제공되고 국물이 너무 느끼하지않고 깔끔하여 좋습니다. 부대찌개 먹으러 갔다가 제육볶음에 빠져서 나오는 집이었어요~! 안주 느낌의 단짠 제육볶음은 취향저격이었습니다. :) 점심에 사람이 많고 어머님들이 정신이 좀없어보여요 굿 좋아요 맛나요 친절해여 좋아요 "
바른치킨,https://m.place.naver.com/restaurant/37230376,4.24,202,선릉역,12명 단체 들어갈 자리 포스코에서 선릉까지 찾다가 겨우 들어갔네요. 잘 먹고 갑니다 친절하고 생맥이 맥스!!! 좋아요 대새레드치킨 잘먹었습니다 맛있게 잘먹었습니다 친절해요 굿 대세가 짱 It’s good^^ 좋아요 
하레,https://m.place.naver.com/restaurant/1170958687,4.5,159,삼성역,"가게 분위기가 너무 이쁜거 있죠!! 퇴근하고 들렀는데 가볍게 한잔하기 좋은거 같아용
단체모임하기 좋게 단체석이 많고 사케 종류가 많아서 너무 좋았어요. 안주도 맛있는데 특히 나베가 
제일 맛있어요 꼭 드셔보세용!!강추합니당😍 테이블이 많아서 단체모임하기 좋아용
제일 중요한 안주도 다 맛있음!!!! 친구들이랑 오랜만에 만났는데 너무 즐거운시간 보내고 왔습니다 ㅎㅎㅎㅎㅎ 음식도 전부 맛있고 분위기가 너무 좋아요 또 방문 예정입니당 ㅎㅎㅎㅎ ❤️ 안주들도 너무 다양하고 정말 맛있습니다 ! 사시미가 진짜 정말 일품이에요 진짜 너무맛있구 저번에 단체로 회식왔다가 너무 마음에들어서 이번엔 친구들이랑 왔어요 ~!! 
번창하세요 ㅎㅎ 뜨끈한 국물에 하이볼 소주 조합!!
안주 다 맛있게 먹었어요~
다음에 또 올 예정! 대치동 이자카야 맛집 직원분들도 친절 하시고 음식도 너무 맛있었어요!! 나가사끼 얼큰 맛 최고최고 👍
소주 안주로 제격이고 먹다가 면추가는 필수!!🍜🍺 좀 시끌시끌하지만 얼큰나가사끼짬뽕 너무 맛있어서 기분좋게 술마시고 왔어요 담엔 단체로 가도 좋을 것 같아요 술 마시기 좋고, 여럿이서 가도 좋을 것 같습니다. 대부분 단체로 오신 분들이 많이 보였고, 조용한 분위기는 아니었습니다. 그래도 좌석들이 다 분리되어 있는 구조라서 괜찮았습니다! 추천합니다! "
유미분식,https://m.place.naver.com/restaurant/1676441391,N,N,N,N
강강술래,https://m.place.naver.com/restaurant/11589288,4.36,"2,206",역삼역,"양념갈비 먹을때마다 가는 집이 되었습니다. 반찬도 맛있고 양도 넉넉하게 리필해주셔서 같이 간 가족들 모두 맛있게 먹었어요. 갈비는 뼈를 제거하고 주셔서 치아가 좋지 않으신 부모님들도 편하게 드실 수 있고 고기가 하나도 질기지 않고 간이 잘 베어있어서 다들 좋아하십니다. 담달에 또 갈거에요! 근처 병원입원.수술.후 콕~~찍어놨던 식당이라 기대하며 11시땡~오픈시간맞춰 갔는데. 조금지나니 웨이팅... 맛집 을 잘찾았구나~ 하며 음식맛에 감탄~! 가성비에 감탄~! 서빙하시는 분들의 친절함에 감탄~! 퇴원길에 먹으며 너무 맛있길래 당분간 요리하기 힘들거같아서 맛있는 밑반찬들과 국들도 몇개씩구입..... 계산하는데 카운터 계산... 예약해서 다녀왔습니다! 일단 고기를 구워줘서 너무 좋았고 일단 맛있습니다 ㅋㅋ 회식하기 좋았어요 추천합니다 굳! 바빠서 그런지. . 서비스꽝.맛도 그냥저냥. . 이틀전에 전화해서 예약하려니 전화예약 안된다고 그냥 당일날 와서 웨이팅하라는 답변을 받고 토요일 그냥 갔죠. 5명 가족모임으로 점심먹으러 갔는데요. 1시간안에 먹으라고 하네요. 그래서 심리적 압박을 받고 허겁지겁 먹었네요. 먹으면서도 우리도 손님인데. . 하면서 . . 이게 맞나? 하고 ... 보양식 한 그릇 하고가세요
갈비탕 맛집
강강술래 역삼점 맛있고 가성비도 좋은데 정신이 없어도 너무 없어요. 코로 들어가는지 입으로 들어가는지.. 왜 그리 어수선햇을까싶
어요. 점심 술래정식 맛있어요 반찬이 깔끔하고 좋아요 돌솥밥이나 냉면 선택해서 먹을 수있어요 11시30분이나 점심시간
 조금 지난 1시에가면 예약안해도 웨이팅 조금이에요 매장에서 먹을 때 마다 맛있었던 잡채! 포장 제품 구매했어요! 아이 반찬으로 주려고 구매했는게 가족들이 모두 좋
아합니다. 종종 사먹고 있어요~ 굴젓도 맛있어요! 사랑하는 후배에게 맛난 정심을 대접했어요. 점심정식이라 부담없이 맛있게 먹고 왔네요. 고기 구워주시는 서버분도 아주 친절하시고 음식도 맛있고..즐거운 식사시간, 고맙습니다. 10.1(토) 저녁 첫 방문하고 너무 만족스러워서 다음 날에도 이틀 연속 방문했습니다. 서프라이즈 생일상까지 준비해
주시고 바쁘신 와중에도 요청드린것 바로바로 해결해주신 저희 홀담당 박*란 직원분께 정말 감사해요! 원래 리뷰 
잘 안 쓰는데 이 분 칭찬해드리고 싶어서 영수증도 챙겨왔습니다. 덕분에 기분 좋은 가족 모임이 되었네요. ... "
탐앤탐스,https://m.place.naver.com/restaurant/11807844,4.37,"1,311",압구정로데오역,"근처 볼일있어서 왔는데 커피맛은 좋은데 직원이 기분 안좋은일이 있었는지 친절하진 않네요
서비스업인데 기분이 그렇더라고 웃는얼굴로 주문받아주면 좋았을껄..하고 아쉬움이 듭니다 생크림크로와상은 기대와 많이 달랐어요. 
생크림이라기 보다는.... 아이스크림 같네요.
냉동 제품 같아요.. 고구마프레즐 짱 맛있어요 주문하면 바로 만들어주시는고 같아용 할로윈 신메뉴가 궁금해서 다녀갔는데, 음료 비주얼도 할로윈 그 잡채고, 너무 달지 않게 맛있어서 공부하면서 마시
기 최고였어요 🫶🏻🎃 +탐탐 프레즐은 말해모해. 역시나 맛났어요 공부하기 좋은 좌석도 있고, 이야기 하기 편한 좌
석도 있어서 앞으로 자주 올 것 같아요 🤎 인테리어도 멋있더라구요 인테리어는 멋진데 직원들의 친절은 기대하지 마세요 많이 피곤해보여서 조용히 음료받아왔습니다 먼저 인사했는데 그냥 묵묵부답인건 좀 그랬습니다 24시 카페라서 좋아요 ㅎㅎ 음악은 좀 시끄럽지만 접근성 좋고 깨끗해요 지인과 커피+간식먹으러 갔는데.. 파스타와 피자를 팔다니요!! 깜짝 놀랬어요~ 같이 간 아이는 식사 대신 베이컨크림파스타 먹었는데, 마늘빵(?) 비슷한 바게트도 주셔서 든든하게 먹을 수 있었어요. 주문 후 15분 정도 걸렸구요, 커피와 음료, 파스타 모두 맛있었어요 늦게까지해서 조아요 층고가 높아서
매장이 쾌적하지만
주말에는 사람 많고 씨끌벅적 "
카페그리다,https://m.place.naver.com/restaurant/37815010,N,N,N,N
호,https://m.place.naver.com/restaurant/1408248574,4.68,437,역삼역,"진짜 너무너무 맛있던 역삼역맛집 역삼동브런치 호샤퀴테리에 의 브런치 플레터 B 가성비를 넘어선 갓성비를 자
랑하는것도 모자라 맛도 진심 최고였던! 소시지도, 잠봉, 베이컨도 끝내줬고 빵도 매장에서 직접 베이커리해서 진짜
 맛있었슴 여기는 시간내서 꼭 가봐야하는 맛집 입니다! 런치세트 A의 샐러드, 샌드위치, 파스타 모두 맛있었어요! 특히 엔쵸비 파스타가 향긋하고 색달랐어요 파스타 소스
에 잠봉뵈르 빵 찍어서 먹을만큼 소스까지 전부 다 먹었네요ㅎㅎ 분위기도 좋고 점심시간 가벼운 데이트장소로도 
좋았어요! 역삼동에 이런 맛집이 있다니 잠봉뵈르 고소하니 너무 맛나구여 특히소시지 자체가 너무너무 맛있어서 핫도그도 
브런치도 너무 좋아요 가공육과 바게트를 직접 생산, 판매뿐만 아니라 60여종의 엄선된 와인을 같이 판매하는 국내
 최초 샤퀴테리 레스토랑이에요 역삼역 근처에 너무 맛있는 곳을 발견했어요! 빵이랑 소시지도 다 수제라 더 맛있고 라페도 너무 맛있어요. 짜지않고 브런치로 딱 좋아요! 역삼역 브런치맛집👍👍 브런치 플레터 시켜서 킬바사 소세지랑 샐러드랑 같이 먹었어용
완전 존맛탱😖😖 감튀도 맛있음 ㅜㅜ
아점으로 먹기 좋은거같아요 !! 밖에서 보는 것보다 내부가 더 분위기 있고 좋았습니다. 브런치 메뉴에 들어간 샤퀴테리 종류 다 맛있네요~ 뇨끼도
맛있지만 잠봉뵈르 엄청 맛있게 먹었어요! 핫도그 별로 안 좋아하는데 핫도그 먹으러 재방문할 생각 있을 정도예
요 ㅋㅋㅋ 콜키지프리가 되서 와인 한병까지 사오면 매우 좋아요!! 뇨끼가 쫄깃하고 너무 맛있어서 또 방문했어요. 식기전에 
뇨끼 먹기 강력 추천이고 소시지도 조금 짜지만 맛있어요!! 잠봉뵈르도 여태 먹어본 곳 중 가장 맛있고 빵도 폭신하
니 와인하고 잘 어울려요 인테리어도 좋고 빵이랑 햄,소세지 수제로 만들어서 짜지 않고 맛있었어요! 핫도그 빵은 부드럽고, 브런치 플래터 
빵은 구워져 나와서 바삭하고 쫀쫀한 식감이라 각자 메뉴가 너무 잘 어울렸어요. 굿굿. 감자튀김도 바삭바삭 잘 튀
겨져서 맛있게 먹었습니다. 주문한 메뉴는 브런치 플래터 B : 킬바샤 / 살시챠 핫도그 입니다. 프랑스 샤퀴테리를 가장 한국적으로 잘 구현한 역삼동콜키지프리 Cafe 입니다. 취향저격이예요 너무 맛있고, 분
위기도 최고!!!! 완전!!추천!! 잠봉뵈르 샌드위치 빵도 고소하고 양이 적을 줄 알았는데 먹고나니 엄청 든든해요. 햄도 가득가득. 유 럽에서 오래살다온 남편이 인정했어요 ㅎㅎ 쉬림프오일링귀니.ㅡ 면이 탱글탱글하니.. 샌드위치 다 먹고 먹었는데 도 불지도 않고 맛나게 먹었어요 와인도 마실 수 있는 데여서 담엔 와인한병 마시러 가야겠어요 요런 맛집은 ... "
한성양꼬치,https://m.place.naver.com/restaurant/35407703,4.61,346,강남역,"양꼬치 육즙 풍부하고 너무 맛있네요!! 화력이 엄청 세요 어향가지 맛있다길래 주문했는데 가지가 이렇게 맛있다니 ㅎㅎ 소스가 살짝 매콤해서 더 맛있어요 옥수수온면도 평타 이상이에요 직원분들도 친절하시고 좋았어요 어향가지 맛있어요 가지와 감자를 살짝 튀겨 소스에 버무린 음식인데 간간하지만 맛있습니다 근데 네이버 가격보다 전체적으로 가격이 올랐어요 좀더 진한맛이네요.여친이 좋아합니다. 육즙 많다고 메뉴가 다양하나 친절한 편은 아니에요 양꼬치 퀄리티가 좋고 지삼선도 아주 맛있었어요 양꼬치 맛있긴한데 가게 내부나 음식이 청결 깔끔한 느낌은 아니었고 역시 강남이라 그런지 비싼거 같아요 ㅠㅠ 양꼬치 냄새도 많이 안 나고 지삼선 맛있었어요! 양꼬치는 10개에 14000원이더라구요. 직원분이 꼬치 3-4개 정도 남았고 구워놓은 거 먹고 있는 중에 테이블마다 돌아다니면서 '불 빼게' 얼른 구우라고 채근 하셔서 눈치 보면서 먹 었어요 ㅎ 반찬 더 부탁드리는 거랑 음료시킬 때 귀찮아하시는 건 바빠서 그런가보다했는데, 다짜고짜 오셔... 양꼬치가 맛있었고 ㅎㅎ 모임하기 좋았어요! 꼬치가 맛있는 편입니다
어향가지도 지삼선과 조금 다른 굴소스의 맛과 더불어 매콤함이 느껴져서 좋고요
무엇보다 잔을 시원하게 만들어 내주기때문에 맘에 듭니다 양꼬치 맛있게 잘 먹었습니다:) "
